2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
17.3304054054,32.9195945946,19.4591216216,1.4027740142
3.1805555556,31.0694444444,4.5277777778,0.4064445526
32.9153752039,38.3627650897,16.7995513866,1.3174393481
35.5488554217,3.4636746988,9.398253012,2.4922589894
6.6118421053,37.3092105263,0.125,0.4138360682
31.6098987854,24.0250404858,5.285,2.8452654671
31.9902727637,6.6112113919,8.0106297633,2.6494835675
9.5347222222,17.8680555556,0.4513888889,0.5120880474
42.7927872861,10.1856662592,2.3265586797,1.8274194319
34.2569691578,35.2782226176,16.9277876631,2.1129704105
10.3467543139,35.0561318817,6.7553410025,3.311595832
7.2054347826,4.6076086957,17.3510869565,0.7541824447
35.0585511983,4.9376361656,16.5678104575,1.1963218478
9.3726433244,34.0797422085,28.0353501347,2.6865147579
16.375,33.1416666667,10.1583333333,0.4818933026
21.2219148223,44.0554158283,16.9564889336,1.7717523606
30.921875,23.7734375,0.1875,0.4923725109
11.0523962804,39.6461015737,5.2537553648,1.7341215265
12.8595890411,34.9653253425,10.533390411,1.2963275611
25.5996081505,27.859169279,8.7032131661,1.812024372
31.977173913,14.7663043478,21.6902173913,0.7541824447
24.1474137931,37.2698275862,26.0267241379,0.8147664539
41.4751220646,31.2125668449,6.0086317136,3.1776809102
15.4228971963,24.8738317757,4.5817757009,0.9276448333
37.9987297704,30.6916164848,28.2910707565,2.1480332042
45.5384615385,3.7403846154,19.2211538462,0.5788662821
5.7083333333,2.4444444444,0.3138888889,0.6950104086
25.5737908962,38.1335348506,3.3970483642,1.3789935894
25.790125136,4.3314744287,24.5733133841,1.8997318673
14.3697728911,32.5483958183,8.9712509012,1.7295613006
15.7787761601,2.9154913558,13.2753639672,1.6004534109
5.1641076115,36.4654199475,13.3844488189,1.9225403593
11.789,9.873,10.003,0.7754381136
6.5666146508,8.0027823578,27.3114621364,3.1639534543
25.5468194741,40.9661513859,11.2612828714,1.7378348601
33.0267128874,1.7958809135,4.8856035889,1.3174393481
7.885286783,25.3147339983,6.7691188695,2.0781442022
36.1401515152,10.321969697,15.0643939394,0.497448874
14.3802493438,21.458552056,22.0154199475,1.6215333394
42.8872180451,11.2781954887,13.1437969925,0.9974037983
4.2712318286,15.5885615914,18.1912777353,2.1363824418
22.03125,38.5416666667,25.9479166667,0.5636258259
